month,L Income,L 2025,L 2030,L 2035,L 2040,L 2045,L 2050,L 2055,L 2060,L 2065,G Fund,F Fund,U.S. Aggregate Index,C Fund,S&P 500,S Fund,DJ TSM,I Fund,EAFE
October 2019,0.70,,1.67,,1.95,,2.20,,,,0.14,0.28,0.30,2.16,2.17,1.93,1.89,3.60,3.59
September 2019,0.51,,1.28,,1.50,,1.69,,,,0.14,-0.54,-0.53,1.87,1.87,1.06,1.00,2.87,2.87
August 2019,-0.12,,-0.96,,-1.22,,-1.46,,,,0.18,2.60,2.59,-1.59,-1.59,-4.19,-4.18,-1.77,-2.59
July 2019,0.19,,0.21,,0.22,,0.22,,,,0.18,0.21,0.22,1.44,1.44,1.64,1.63,-2.09,-1.27
June 2019,1.57,,4.11,,4.87,,5.52,,,,0.19,1.26,1.26,7.04,7.05,6.80,6.81,5.94,5.93
May 2019,-0.98,,-3.36,,-4.06,,-4.67,,,,0.21,1.77,1.78,-6.36,-6.35,-6.99,-6.95,-4.69,-4.80
April 2019,0.89,,2.23,,2.62,,2.96,,,,0.21,0.02,0.03,4.05,4.05,3.69,3.66,2.92,2.81
March 2019,0.52,,0.87,,0.96,,1.02,,,,0.23,1.93,1.92,1.95,1.94,-1.03,-0.99,0.71,0.63
February 2019,0.80,,2.00,,2.36,,2.68,,,,0.20,-0.06,-0.06,3.21,3.21,4.98,4.97,2.55,2.55
January 2019,1.83,,4.92,,5.86,,6.67,,,,0.23,1.07,1.06,8.01,8.01,11.64,11.60,6.60,6.57
December 2018,-1.31,,-4.64,,-5.61,,-6.45,,,,0.26,1.84,1.84,-9.03,-9.03,-10.70,-10.78,-4.82,-4.85
November 2018,0.53,,0.99,,1.12,,1.22,,,,0.26,0.62,0.60,2.04,2.04,1.92,1.84,-0.13,-0.13
October 2018,-1.40,,-4.60,,-5.54,,-6.35,,,,0.26,-0.78,-0.79,-6.84,-6.84,-10.06,-10.07,-7.94,-7.96
September 2018,0.21,,0.23,,0.22,,0.21,,,,0.24,-0.62,-0.64,0.57,0.57,-1.76,-1.75,0.91,0.87
August 2018,0.61,,1.28,,1.47,,1.65,,,,0.26,0.67,0.64,3.26,3.26,4.57,4.50,-1.91,-1.93
